timesteps_total,done,info,episode_reward_mean,episode_len_mean,episodes_total,mean_accuracy,mean_validation_accuracy,mean_loss,neg_mean_loss,experiment_id,training_iteration,timesteps_this_iter,time_this_iter_s,time_total_s,pid,date,timestamp,hostname,node_ip,config
324322,,"{'weights_norm': 582.3283081054688, 'time_elapsed_this_iter': 11.649120092391968, 'grad_norm': 7.059847831726074, 'episodes_so_far': 11202L, 'time_elapsed': 123.54994106292725, 'update_ratio': 0.03738248720765114, 'timesteps_so_far': 324322L, 'episodes_this_iter': 1018L, 'timesteps_this_iter': 33302L}",39.324594815572105,34.166666666666664,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,11,33302,11.65034794807434,123.41128039360046,10546,2018-04-01_21-18-35,1522617515,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
357990,,"{'weights_norm': 587.8141479492188, 'time_elapsed_this_iter': 11.43106722831726, 'grad_norm': 6.739910125732422, 'episodes_so_far': 12214L, 'time_elapsed': 134.9926791191101, 'update_ratio': 0.03599530830979347, 'timesteps_so_far': 357990L, 'episodes_this_iter': 1012L, 'timesteps_this_iter': 33668L}",51.74389521280924,40.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,12,33668,11.432260990142822,134.8435413837433,10546,2018-04-01_21-18-46,1522617526,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
392094,,"{'weights_norm': 592.9931030273438, 'time_elapsed_this_iter': 12.031224012374878, 'grad_norm': 6.919867038726807, 'episodes_so_far': 13234L, 'time_elapsed': 147.0380880832672, 'update_ratio': 0.03483309596776962, 'timesteps_so_far': 392094L, 'episodes_this_iter': 1020L, 'timesteps_this_iter': 34104L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,13,34104,12.032464027404785,146.87600541114807,10546,2018-04-01_21-18-58,1522617538,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
427232,,"{'weights_norm': 597.964111328125, 'time_elapsed_this_iter': 12.451390027999878, 'grad_norm': 6.910545825958252, 'episodes_so_far': 14272L, 'time_elapsed': 159.50496912002563, 'update_ratio': 0.03377488628029823, 'timesteps_so_far': 427232L, 'episodes_this_iter': 1038L, 'timesteps_this_iter': 35138L}",49.81222915649414,39.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,14,35138,12.45270299911499,159.32870841026306,10546,2018-04-01_21-19-11,1522617551,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
461395,,"{'weights_norm': 602.7981567382812, 'time_elapsed_this_iter': 12.146306991577148, 'grad_norm': 6.459224700927734, 'episodes_so_far': 15292L, 'time_elapsed': 171.66538906097412, 'update_ratio': 0.03257189318537712, 'timesteps_so_far': 461395L, 'episodes_this_iter': 1020L, 'timesteps_this_iter': 34163L}",59.44038391113281,47.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,15,34163,12.1475989818573,171.47630739212036,10546,2018-04-01_21-19-23,1522617563,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
495571,,"{'weights_norm': 607.4242553710938, 'time_elapsed_this_iter': 12.060622930526733, 'grad_norm': 6.560731887817383, 'episodes_so_far': 16292L, 'time_elapsed': 183.7392508983612, 'update_ratio': 0.03173792362213135, 'timesteps_so_far': 495571L, 'episodes_this_iter': 1000L, 'timesteps_this_iter': 34176L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,16,34176,12.061784982681274,183.53809237480164,10546,2018-04-01_21-19-35,1522617575,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
531199,,"{'weights_norm': 611.8944091796875, 'time_elapsed_this_iter': 12.680483102798462, 'grad_norm': 6.513119697570801, 'episodes_so_far': 17318L, 'time_elapsed': 196.43135809898376, 'update_ratio': 0.03096373938024044, 'timesteps_so_far': 531199L, 'episodes_this_iter': 1026L, 'timesteps_this_iter': 35628L}",nan,nan,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,17,35628,12.68177604675293,196.21986842155457,10546,2018-04-01_21-19-48,1522617588,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
565448,,"{'weights_norm': 616.1742553710938, 'time_elapsed_this_iter': 11.655951023101807, 'grad_norm': 6.780477523803711, 'episodes_so_far': 18320L, 'time_elapsed': 208.10120606422424, 'update_ratio': 0.030325958505272865, 'timesteps_so_far': 565448L, 'episodes_this_iter': 1002L, 'timesteps_this_iter': 34249L}",57.63809394836426,43.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,18,34249,11.65724515914917,207.87711358070374,10546,2018-04-01_21-19-59,1522617599,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
601114,,"{'weights_norm': 620.2836303710938, 'time_elapsed_this_iter': 12.219096899032593, 'grad_norm': 6.9913201332092285, 'episodes_so_far': 19364L, 'time_elapsed': 220.33274292945862, 'update_ratio': 0.02990884892642498, 'timesteps_so_far': 601114L, 'episodes_this_iter': 1044L, 'timesteps_this_iter': 35666L}",53.56759262084961,39.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,19,35666,12.220560073852539,220.09767365455627,10546,2018-04-01_21-20-12,1522617612,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
636918,,"{'weights_norm': 624.204345703125, 'time_elapsed_this_iter': 12.331096887588501, 'grad_norm': 6.586038589477539, 'episodes_so_far': 20386L, 'time_elapsed': 232.67580699920654, 'update_ratio': 0.029414428398013115, 'timesteps_so_far': 636918L, 'episodes_this_iter': 1022L, 'timesteps_this_iter': 35804L}",55.50076675415039,39.0,,,,,,a5c2a9cf8d364fe887a8c5b4a6038fbc,20,35804,12.33234715461731,232.43002080917358,10546,2018-04-01_21-20-24,1522617624,ray-vm-4,10.0.0.9,"{'noise_size': 250000L, 'episodes_per_batch': 1000L, 'timesteps_per_batch': 10000L, 'num_workers': 10L, 'eval_prob': 0.003, 'noise_stdev': 0.02, 'env_config': {}, 'observation_filter': u'MeanStdFilter', 'env': 'RoboschoolHumanoid-v1', 'l2_coeff': 0.005, 'stepsize': 0.01, 'return_proc_mode': u'centered_rank'}"
